,song,lyrics
2688,How They Remember You,"[('[Verse 1]', ""sprayed my name on a water tower carved it in an old cottonwood tree signed a bunch\u2005of\u2005high school yearbooks so\u2005they wouldn't forget about me it wasn't\u2005'til i saw my daddy's name in stone i knew it\u205fain't\u205fa\u205fquestion of if\u205fthey will it's how\u205fthey remember you""), ('[Chorus]', ""did you stand or did you fall? build a bridge or build a wall hide your love or give it all what did you do? what did you do? did you make 'em laugh or make 'em cry? did you quit or did you try? live your dreams or let 'em die? what did you choose? what did you choose? when it all comes down it ain't if, it's how they remember you""), ('[Verse 2]', ""when you're down to your last dollar will you give or will you take? when the stiff wind blows the hardest will you bend or will you break?  (will you break?) you're gonna leave a legacy, no matter what you do it ain't a question of if they will it's how they remember you""), ('[Chorus]', ""did you stand or did you fall? build a bridge or build a wall hide your love or give it all what did you do? what did you do? did you make 'em laugh or make 'em cry? did you quit or did you try? live your dreams or let 'em die what did you choose? what did you choose? when it all comes down it ain't if, it's how they remember you [instrumental bridge]""), ('[Chorus]', ""did you make 'em laugh or make 'em cry? did you quit or did you try? live your dreams or let 'em die what did you choose? (what did you choose?) oh, when it all comes down it ain't if, it's how they remember you""), ('[Outro]', 'how they, how they remember you how they, how they remember you how they, how they remember you (how they remember) how they, how they remember you how they, how they remember you how they, how they remember you how they, how they remember you (how they remember) how they, how they remember you (how they remember you')]"
2691,Masterpiece,"[('[Intro', ""] psst, stop (huh) noticed how i looked you in your eyes (let’s go) next time, a nigga gettin' shot if you really love me, fuck me like a thot if you really love me, do what i say  ( d.a. got that dope ) when you give me head, look me dead in my eye (go) nigga play and i'ma set it on fire""), ('[Chorus]', ""my lil' bitch is a masterpiece i ain't even gotta be funny when i'm tellin' no joke she still gon' laugh at me still suck my dick when she mad at me let a nigga makе me mad, you'll see i nod my head in this bitch them niggas gon' slidе on your bitch-ass for me buss down cartier, new master p my lil' bitch is a masterpiece i ain't even gotta be funny when i'm tellin' no joke (yeah, uh) she still gon' laugh at me (yeah, uh) still suck my dick when she mad at me (yeah, uh) let a nigga make me mad, you'll see (yeah, uh) i nod my head in this bitch (yeah, uh) them niggas gon' slide on your bitch-ass for me (uh, uh) buss down cartier, new master p""), ('[Verse 1]', 'let down the window, you see me (skrrt, let this bitch down) we got ars, .45s, nines, and the two-tone lamborghini (let\'s go, let’s go) i walk in this bitch by myself nigga still got on all of his bling-bling (bling) i’m so rich, drop the top on that \'rarri yuh lil\' bruh in this bitch with that thing-thing (that ting, nigga) they just told me that somebody die but it don’t bother me, that\'s a g thing (so) no, it don’t bother me, it\'s the g way (g) i don\'t know what went down at that walmart (uh-uh) i don\'t know what happened on that freeway (doo, doo, doo) okay, there go that dababy, he back now run it back, hey, bitch, turn that on replay oh, he still got that shit with that bop in it? oh, they thought that lil\' nigga went pop, didn\'t it? i\'m one of them superstar rappers who actually poppin\' who really gon\' pop niggas (i\'m one of those) we really done pop niggas tryna send one of you lil\' niggas up, take the clout wit\' ya and i got this lil\' boo thing soon as i went and got her a purse, put my glock in it (yeah, yeah-yeah) like, ""bae, you my bitch now"" she know i don\'t mean no disrespect, i just talk different nigga'), ('[Chorus]', ""my lil' bitch is a masterpiece i ain't even gotta be funny when i'm tellin' them joke she still gon' laugh at me still suck my dick when she mad at me let a nigga make me mad, you'll see i nod my head in this bitch them niggas gon' slide on your bitch-ass for me (doo, doo, doo, doo) buss down cartier, new master p my lil' bitch is a masterpiece (go) i ain't even gotta be funny when i'm tellin' them joke she still gon' laugh at me (uh) still suck my dick when she mad at me let a nigga make me mad, you'll see i nod my head in this bitch them niggas gon' slide on your bitch-ass for me (doo, doo, doo, doo) buss down cartier, new master p""), ('[Verse 2]', ""buss it down, cartier baby (buss it down) niggas think i'm from detroit but i come from that 704, charlotte made me (704) and you can come play if you want i'ma leave yo ass cold like detroit on the pavement (doo, doo, doo, doo) who fuckin' with baby? just laughed at you quick to beat a nigga up, leave him snaggletooth (uh, uh) hoppin' on a jet to get a bag or two (let's go) prolly need to go and do some therapy havin' moments, i always feel lonely (uh-huh) just walked in the meetin', and i got it on me they don't know that i got it on me (uh, uh, uh) i done made a whole lotta millions while in the pandemic (yeah, yeah, yeah) and ain't even out there performin' (go) clown ass nigga, better ketchup you ain't even mustard, that shit there bologna (eugh) new boo look like a barbie doll straight out the package had to bust her out the wrapper (mwah) but nice ass fell in love with a real nigga (mwah) time to turn her to a savage a nigga play with me, i'll prolly burn him on camera (boom) damn, a rapper killed a rapper big player, it don't matter what happened before what really matters happen after""), ('[Chorus]', ""my lil' bitch is a masterpiece i ain't even gotta be funny when i'm tellin' them joke she still gon' laugh at me still suck my dick when she mad at me let a nigga make me mad, you'll see (go) i nod my head in this bitch them niggas gon' slide on your bitch-ass for me (oh, oh) buss down cartier, new master p (oh, oh) my lil' bitch is a masterpiece (oh, oh) i ain't even gotta be funny when i'm tellin' them joke she still gon' laugh at me (oh, oh) still suck my dick when she mad at me (oh, oh) let a nigga make me mad, you'll see (oh, oh) i nod my head in this bitch them niggas gon' slide on your bitch-ass for me buss down cartier, new master"")]"
2692,Long Live,"[('[Verse 1]', ""yeah, it's a friday night, we circled up it’s going down 'round these pick up trucks yeah, it's cold cans and dixie cups just out here doin’ what we've always done""), ('[Chorus]', 'long live all the small towners, sunup to sundowners that old school haggard and hank long live longneck bottles and wide-open throttles and old dirt roads with no name long live them country girls, long legs and cut up jeans long live this way of life, long live nights like these long live, long live, long live long live nights like these'), ('[Verse 2]', 'long live the walmart, parking lot turning to thе midnight party spot long live hard work, when it pays off and living it up on your days off'), ('[Chorus]', 'long live all thе small towners, sunup to sundowners that old school haggard and hank long live longneck bottles and wide-open throttles and old dirt roads with no name long live them country girls, long legs and cut up jeans long live this way of life, long live nights like these long live, long live, long live long live nights like these [guitar solo]'), ('[Bridge]', ""long live them glory days, on them back forty days all them pass it 'round, pass it down story days""), ('[Chorus]', 'long live all the small towners, sunup to sundowners that old school haggard and hank long live longneck bottles and wide-open throttles and old dirt roads with no name long live them country girls, long legs and cut up jeans long live this way of life, long live nights like these long live, long live, long live long live nights like thes')]"
2699,Clear Da Air,"[('[Intro', ""] federal, federal, federal, federal fed, who? out here talkin' to me? hah i put this shit in the envelope, put the address on it we don't do diss songs, we clear the air go""), ('[Chorus]', ""niggas be lyin' like they raw (lie), 4800, my cough put my lil 'bitch in the loft (in the spot) keep your eyes on the bread, i told 'em (stay focused) i threw some diamonds in the audemars (avatar) coulda went and bought a car (went and bought a car) open that truffle bag full of 'za (right there) we gon' smoke 'til tomorrow (twenty-four) i might keep these pints for the drought then break 'em back out like i'm taxin' (havin') i do the white 1s least four times a week i still dress like i'm trappin' (dope boy) don't care how gangster you is or what you did that paper work got your name in it (don't know) ain't with that fake shit, by the time they started showin' love i was straight then (don't even want none)""), ('[Verse 1]', 'i\'m double g, i put my bitches in double c (three) turn the section 8 house to a double tree (trap) real niggas and hitters, they run with me (gang) bge, i\'m protectin\' the company (bread) i done took the label to a whole \'nother level now they respectin\' my mind more on a money spree she been thinkin\' \'bout breakin\' up with me (why?) i don\'t make time for her i\'m goin\' in from the back, she like when my hands on her neck (ooh) give her that demon effect (uh) blow her head up with a lie (now), tell her her pussy the best don\'t disrespect me when i\'m treeshin\' (no) it\'s either wock\' or the tech (p) chargin\' a hunnid a set (yeah) can\'t even get higher than that (uh-uh) smoke and then count up a check on the way to the jet send a blitz out the store, low (go, go) you the law, you the po-po (twelve) fuckin\' your bitch, i got mojo (ugh) keep it on me, i ain\'t dolo (right now) racks on me, loaded potato (right now) can\'t name a place where i can\'t go (no, no) i better not trip, i replace hoes (swap out) i\'m in that ""don\'t give a fuck"" mode (federal, federal)'), ('[Chorus]', ""niggas be lyin' like they raw (lie), 4800, my cough put my lil 'bitch in the loft (in the spot) keep your eyes on the bread, i told 'em (stay focused) i threw some diamonds in the audemars (avatar) coulda went and bought a car (went and bought a car) open that truffle bag full of 'za (right there) we gon' smoke 'til tomorrow (twenty-four) i might keep these pints for the drought then break 'em back out like i'm taxin' (havin') i do the white 1s least four times a week i still dress like i'm trappin' (dope boy) don't care how gangster you is or what you did that paper work got your name in it (don't know) ain't with that fake shit, by the time they started showin' love i was straight then (don't even want none)""), ('[Verse 2]', 'money shit crazy (yeah), i put the drip on daily (real) like it\'s a special occasion (sorry) know what i\'m blazin\', dang, my eyes on asian like me and johnny related (haha) niggas wait \'til they get money, get gangsta this the type of shit that flush me (flush me) fuck your niggas and your support you just act like it, you don\'t love me i\'m better than i was \'fore i started when you get real money you don\'t bargain chrome heart came hat, niggas flodgin\' i told her, ""come and eat me like you starvin\'"" even in high school i was mobbin\' (what that mean?) trappin\', breakin\' bitches, robbin\' (only that) i know i\'m gon\' beat this (nah) but i knew i was gonna get me some money regardless (true)'), ('[Chorus]', ""niggas be lyin' like they raw (lie), 4800, my cough put my lil 'bitch in the loft (in the spot) keep your eyes on the bread, i told 'em (stay focused) i threw some diamonds in the audemars (avatar) coulda went and bought a car (went and bought a car) open that truffle bag full of 'za (right there) we gon' smoke 'til tomorrow (twenty-four) i might keep these pints for the drought then break 'em back out like i'm taxin' (havin') i do the white 1s least four times a week i still dress like i'm trappin' (dope boy) don't care how gangster you is or what you did that paper work got your name in it (don't know) ain't with that fake shit, by the time they started showin' love i was straight then (don't even want none)""), ('[Outro]', ""turn me up, yc  ( turn me up, yc ) realred, i'm so fuckin' bumpin', bru"")]"
2744,Starting Over,"[('[Verse 1]', ""well the road rolls out like a welcome mat to a better place than the one\u2005we're\u2005at and i ain't\u2005got no kinda plan but i've had\u2005all of this town i can stand""), ('[Verse 2]', ""and i got friends out on the coast we can jump in the water and see what floats we've been savin' for a rainy day let's beat the storm and be on our way""), ('[Pre-Chorus]', ""and it don't matter to me wherever we are is where i wanna be and honey, for once in our life let's take our chances and roll the dice""), ('[Chorus]', ""i can be your lucky penny you can be my four-leaf clover startin' over""), ('[Verse 3]', ""this might not be an easy time there's rivers to cross and hills to climb some days we might fall apart and some nights might feel cold and dark""), ('[Verse 4]', ""but nobody wins afraid of losin' and the hard roads are the ones worth choosin' someday we'll look back and smile and know it was worth every mile""), ('[Pre-Chorus]', ""and it don't matter to me wherever we are is where i wanna be and honey, for once in our life let's take our chances and roll the dice""), ('[Chorus]', ""i can be your lucky penny you can be my four-leaf clover startin' over startin' over [instrumental] 2:47 - 3:00""), ('[Pre-Chorus]', ""it don't matter to me wherever we are is where i wanna be and honey, for once in our life let's take our chances and roll the dice""), ('[Chorus]', ""i can be your lucky penny you can be my four-leaf clover startin' over startin' over""), ('[Outro]', 'oooh, ooh-hoo-hoo oooh, ooh-hoo-ho')]"
2745,Diamonds Dancing,"[('[Chorus: Young Thug]', 'all these diamonds in my chains got me dancing \'round this bitch i\'m martin luther king, black diamonds on my wrist  ( run that back, turbo ) put giuseppes on my kids, put chanel coco on my bitch put that four-four on the switch, then you cock, pop, pop, then dip i\'ve been in the trenches, the trap, to be specific i fell in love with my bitches, then sold \'em for some riches this money be my missus, drive me crazy, i need ritalin i told \'em, ""i\'m so slimy, i\'m so shady, i admit it, yeah""'), ('[Verse 1: Young Thug &  Travis Scott ]', ""slatt like to shoot, slatt like to murk twenty-one gun salute (baow), drilling, putting in work (yeah) cut his tonsils out (woo), i said it'd hurt (ayy) keep a new four-four, yeah, let it burst pockets honey kettlе, keep on pedal get my own cheddar, all my dogs bеtter honeycomb bezel, we make opps jitter maison margielas, cases get settled here, clean the cookie off, family, travis, the scotts ( yeah ) servin' the bags, i'm cookin' the stove came in the spot and we servin' with soap i was just spazzing, finding the flow i'm with some crips, down with some locs hand in the pot, i'm with some bloods how many slatts? leave it to us (yeah) yeah, countin' racks, smokin' on pot yeah, i upgraded my thot yeah, i upgraded my spots yeah, thots chickened out woo, yeah, the spots upgraded, now them bitches chickened out hey, thirty-five burnt hundreds on my pocket watch""), ('[Chorus: Young Thug,  Young Thug & Gunna ]', 'all these diamonds in my chains got me dancing \'round this bitch i\'m martin luther king, black diamonds on my wrist put giuseppes on my kids, put chanel coco on my bitch put that four-four on the switch, then you cock, pop, pop, then dip i\'ve been in the trenches, the trap, to be specific i fell in love with my bitches, then sold \'em for some riches this money be my missus, drive me crazy, i need ritalin i told \'em, ""i\'m so slimy, i\'m so shady,  i admit it, yeah""'), ('[Verse 2: Gunna &  Travis Scott ]', ""only designer tees (designer tees) i heard they plottin' on me (they plottin') these niggas thought it was sweet (sweet) we had to put 'em to sleep (put 'em to sleep) counted two million this week (two m) couldn't take my time with the freak (let's go) she asked for that big birkin b (b) your bitch, she been tellin' the tea (tellin' the tea) a ysl member (ysl) rocking sl denim (slatt, slatt) put a few shells in 'em (slatt) just a young player nigga (yeah) she wanna suck this pickle, yeah might spend a couple nickels, yeah they'll never try a nigga (try a nigga) shoot it up, brian nichols new ghost, patrick swayze, shady baby, loco, crazy (loco) southside, but not jd, pull up, amg mercedes (mercedes) cc on my lady (cc), that's celine, that's not chane'-ne' (chane'-ne') big dog with no rabies, wake up, everyday a payday (payday,  ooh )""), ('[Verse 3: Travis Scott]', ""in your city, lookin' for a move incognito jeffrey with me, now we gotta run it back, turbo she thinkin' villa, i was thinkin' two weeks on a boat (yeah) got bunnies with ya, my dogs are jackalopes, hop on, let's go (let's go) feelin' like hugh hefner (yeah), my hoes came together (yeah) not a gina (yeah), this martin y coretta (dream) at the crib, coachella ('chella),  cactis in the cellar  (ah) creep out like cartelers, cactus slatt forever (slatt) yeah, diamonds king kong, how they beatin' on my chest (ah, king kong) uh, the link so long, this shit 'bout to touch my dick (link) up to summer strong, and we got another stretch (team) november come, won't you pop out at the fest? (it's lit) feel it on my body, it's a movie, ayy, ayy (yeah) it was just one night, it felt like a sci-fi (fi) we dodgin' the sun, only way we come alive (alive) we've been on the run how you do that? how you do that? yeah (it's lit)""), ('[Chorus: Gunna,  Gunna & Young Thug ]', 'all these diamonds in my chains got me dancing \'round this bitch uh, martin luther king, black diamonds on my wrist put giuseppes on my kid, put chanel coco on my bitch put that four-four on the switch, then you cock, cock, pop, then dip i\'ve been in the trenches, this trap, to be specific i fell in love with my bitches, then sold \'em for some riches this money be my missus, drive me crazy, i need ritalin i told \'em, ""i\'m so slimy, i\'m so shady, i admit it, yeah')]"
2754,Cry Baby,"[('[Intro', ': megan thee stallion] real hot girl shit ( d.a. got that dope )'), ('[Chorus: DaBaby]', ""that ain't dababy, that's my baby her friends and mom hate me (go) lay down on the bed, do the crybaby (mmm) she ain't gave me none of that pussy in a while she had the boy waitin', i don't mind waitin' (come here) oh, you ain't gon' respond to my texts? (oh, yeah?) want me keep on my diamonds, we sex? (what's your name?)""), ('[Verse 1: DaBaby]', ""keisha? (kei), jasmine? (jas), kiera? megan? (go) lisa? ashley? (ashley), sierra? sarah? she got her hands on her knees with her ass in the air, ooh, that lil' bitch a player if her friends ain't around to record it, she bend over, shake that lil' ass in the mirror like goddamn, what a nigga gotta do for your number? shawty came through with that head so good, i said fuck it, i ain't usin' no rubber way she make that ass bounce, think i love her got that ass and that mouth from her mother type to make your bae mad, you in trouble nba playoffs that ass, it's a bubble uh-uh, uh-uh, come here, come here, uh-uh throw that ass back, come here, come here""), ('[Chorus: DaBaby]', ""that ain't dababy, that's my baby her friends and mom hate me (go) lay down on the bed, do the crybaby (go) she ain't gave me none of that pussy in a while she had the boy waitin', i don't mind waitin' oh, you ain't gon' respond to my texts? (oh, yeah?) want me keep on my diamonds, we sex? (what's your name?)""), ('[Verse 2: Megan Thee Stallion]', ""(wah, wah, wah, wah) real hot girl shit (ayy, ayy, ayy, ayy) lay on my stomach, toot it up, do the crybaby (crybaby) look back, hold it open, now he annihilated (yeah) moaning like a bitch when he hit this pussy damn, he probably wanna wear my hoodie (ah) choke me, spank me, look at me, thank me (thank me) if i give it to another nigga, he'll hate me (he'll hate me) spit, slurp, give him that work fell too fast for me, now the nigga hurt deeper, deeper, i need a reaper thought i was in trouble how he tearin' them cheeks up keep me a freak, who the flavor of the week? if i make up the rules, then i don't think it's cheatin' jordan, tommy, timothy, daniel (which one?) might let jonathan bring in sarah  (come here, sarah) bitch tryna brag about taking my man (huh?) hah, i needed me a nigga off my hands (hahahaha) uh-uh, don't fuck me like that, fuck me like this, yeah, ayy""), ('[Chorus: Megan Thee Stallion]', ""his friends and his dad hate me (yeah) i broke his lil' heart, he a crybaby (wah-wah-wah) if i ain't let him hit the pussy by now then that nigga lame if he still waitin'  (ah, ah, ah) i ain't even save your number (nope) so no, i can't reply to no text (no text) i make him cry 'bout the pussy, hmm probably why my shit so wet (ah, ah, ah, ah, wah, wah, wah"")]"
2758,Proud Of You,"[('[Intro', "": lil uzi vert] yeah, woah, slatt ( bugz on the beat ) and you know, um i was just talking to, um, slime, you know (slime) i was talkin' to thug, he said""), ('[Chorus: Lil Uzi Vert]', '"" uzi, i am proud of you "" i said, ""slime, i\'m proud of you"" (let\'s go) he said, ""that\'s a rollie kit"" i said, ""this a new rollie kit"" (diamond) i am a smithstonian (\'stonian) look how big this rollie is (what?) ""uzi, i am proud of you"" i said, ""slime, i\'m proud of you"" (slatt) ""uzi, i am proud of you"" i said, ""slime, i\'m proud of you"" (i am) he said, ""that\'s a rollie kit"" i said, ""this a new rollie kit"" (okay) i am a smithstonian look how big this rollie is (let\'s go) ""uzi, i am proud of you"" (i\'m proud of you)'), ('[Verse 1: Lil Uzi Vert]', ""rockstar, yellow bitch like corn (like corn) went to mia, turned orange (turned orange) pull up new lam', no insurance (skrrt) bad bitch foreign (foreign) overseas money when a nigga tourin' (i'm tourin') she suck it up and her eyes start pourin' (suck it up) let me strap my leg up like george woah, let's go (let's go, let's go) it's no way that i'm fightin' you (no way) she moan like a prostitute (bitch) she ain't got a lot to lose (no, no) no, no, at all yes, my rollie face is green slime, his rollie face is red gunna rollie face is blue  (no cap) let's go, for sure, for sure i could never make that girl my ho 'cause she play with her nose (ew) put diamonds on my wrist, my hands (bblaow) my neck, my nose (my nose, my nose) i ran out of space, put it on my ankle put it on my toes oh yeah put it on your bitch, put it on my bros""), ('[Chorus: Lil Uzi Vert]', '""uzi, i am proud of you"" i said, ""slime, i\'m proud of you"" (let\'s go) he said, ""that\'s a rollie kit"" i said, ""this a new rollie kit"" (diamond) i am a smithstonian (\'stonian) look how big this rollie is (what?) ""uzi, i am proud of you"" i said, ""slime, i\'m proud of you"" (slatt) ""uzi, i am proud of you"" i said, ""slime, i\'m proud of you"" (i am) he said, ""that\'s a rollie kit"" i said, ""this a new rollie kit"" (okay) i am a smithstonian look how big this rollie is (let\'s go) ""uzi, i am proud of you""'), ('[Verse 2: Young Thug]', ""i jumped in the crowd and i felt so proud (yeah) i kill 'bout my dawg, and that's a hands-down (hands-down) uzi a real king (yeah), somebody pass him a crown (yeah) i had a dream 'bout lean (lean), woke up, poured an ounce (ah) i just bought a car (skrrt), put it in my mouth (yeah) hundred fit this large (racks), and i still can't talk (can't talk) i supply this town, i ranned out of rounds (yeah) i took off the rollie (woah), and put it on the ground (woo) took the words out my mouth (yeah)""), ('[Chorus: Lil Uzi Vert]', '""uzi, i am proud of you"" i said, ""slime, i\'m proud of you"" (let\'s go) he said, ""that\'s a rollie kit"" i said, ""this a new rollie kit"" (diamond) i am a smithstonian (\'stonian) look how big this rollie is (what?) ""uzi, i am proud of you"" i said, ""slime, i\'m proud of you"" (slatt) ""uzi, i am proud of you"" i said, ""slime, i\'m proud of you"" (i am) he said, ""that\'s a rollie kit"" i said, ""this a new rollie kit"" (okay) i am a smithstonian look how big this rollie is (let\'s go) ""uzi, i am proud of you""'), ('[Verse 3: Yung Kayo]', ""put amari on her every day (every day) and i'm on the water just like a crate' (crater) the semen sittin' on her face, marinate (marinate) stomp out an opp like a parasite i got the heater, two hundred in fahrenheit (hot) i got a european bitch, i'm barry white roll in the bitch like a motherfuckin' ramp height i keep at least ten thousand on my lap tight and them bitches just wanna fuck me 'cause my status i let off thirty-twos just like magic told the bitch give me roof 'til i drop it but we shoot at your whole head, we ain't croppin' it i'ma air it out just like the laundromat (gang) walkin' with whole bags, money counter, man and my neck water, like the fountain, man (woah) and we got zero losses like the pointer, man (point) get to the money, you know it's important, man""), ('[Outro: Lil Uzi Vert &  Young Thug ]', ""uzi, i am proud of you uzi, i'm so proud of yo"")]"
2765,Came And Saw,"[('[Intro', ': rowdy rebel  &  future ] ( wheezy outta here ) huh? come on wait, huh? uh'), ('[Chorus: Rowdy Rebel]', ""i do this shit with no pressure (no pressure) run up the back ends and put up the extra you cannot step with the steppers (steppers) you can't put dirt on a nigga that's clean you cannot run up and check us (check us) i'm with the slime, my twin, he bleed got twenty-five shooters in a sprinter (grrra) brought brand new tecs, big glocks and beams i could make a movie, make a scene (yeah) i put the glock on repeat (yeah) only amiri the jeans (yeah) it hurt my glock when i lean (oh yeah) come here, lil' bitch, don't talk (don't talk) come here, lil' bitch, don't speak (don't speak) look at my drip when i walk (walk) slimey like thugger and wheez', uh""), ('[Verse 1: Rowdy Rebel]', ""i left that bitch in the bed, then jumped in the 'rari, then hopped in these streets (skrrt) i'm on my way to the stu', i'm geekin' off meds like who wanna lean? (huh?) lil' nigga get to the breesh (to the breesh) can't fuck with that bitch 'cause she treesh (she treesh) in three weeks we took back the streets (ha) fuck all the opps and police""), ('[Verse 2: Young Thug]', ""slime, yeah, yeah (woo), yeah (stop), yeah (that's spider) yeah (huh), pills, yeah (shmoney), yeah (slime), yeah bentley ashtray and it's just for the guts (uh) don't you try cum in it slut (uh, uh, uh) i put a four in a a and a w and i've been sippin' on suds (uh, uh, uh) all three of my carti's got ice on the bezels (yeah) shit came from the trenches (woo) you speak on my name and it came with the pressure (and what?) we started destruction (yeah) i flew the bitch in way out from australia (yeah), the global express (on god) i told the lil' nigga don't come with them messages, 'cause we kill the messenger (huh) my bitch got the drac' with the beam (huh, huh) four-hundred k large on her rings (that's right) half a mil', don't you tell what you seen (huh, huh) i'ma boss up the street, ho, you shittin' me? how your jet land at john f. kennedy? (shmoney) it's a sixteen passenger genie (yeah) hold it down with this ho, bro, you're killing me shawty belong to the street-neet-neets (woah) we gonna make us a scene i send my dawg, check out the scene (woah) i can't even hide from the ho all of this motherfuckin' ice on my ring (woah) don't get beside yourself when you see king, pussy ho speak (uh) i rock designer belts not neither one of them wrestling things""), ('[Chorus: Rowdy Rebel]', ""i do this shit with no pressure (no pressure) run up the back ends and put up the extra you cannot step with the steppers (steppers) you can't put dirt on a nigga that's clean you cannot run up and check us (check us) i'm with the slime, my twin, he bleed got twenty-five shooters in a sprinter (grrra) brought brand new tecs, big glocks and beams i could make a movie, make a scene (yeah) i put the glock on repeat (yeah) only amiri the jeans (yeah) it hurt my glock when i lean (oh yeah) come here, lil' bitch, don't talk (don't talk) come here, lil' bitch, don't speak (don't speak) look at my drip when i walk (walk) slimey like thugger and wheez', uh""), ('[Outro:  Future ]', '( wheezy outta here')]"
2776,Paid The Fine,"[('[Intro', ': future] ( wheezy outta here )'), ('[Verse 1: Lil Baby]', ""i used to couldn't see this far damn, look how them tables turned think i walk on water, but i never let no bridges burn it's different when it's given to you all the money, i really earned it and ain't no one's business, why the fuck am i still they concern? ain't the one for trippin', i keep pushin', i'm like lesson learned i ain't missin' my shot in this shit, everyone don't get a turn i was thinkin' street, i wanted everyone in verts and rovers now i really see and i got everyone convertin' over studio, i'm stayin' at the microphone 'til the session over niggas know we came with a lot of strong, took our section over (took our section over)""), ('[Chorus: YTB Trench]', ""i know it hurt, but you still told me that you lied we made it work, but you still found the ways around it extended verse, somehow, we still ain't see the high i paid the fine, and pay that iron between that line, i smoke that fire i know it hurt, but you still told me that you lied we made it work, but you still found the ways around it extended verse, somehow, we still ain't see the high i paid the fine, and i'd do it again""), ('[Verse 2: Young Thug &  Gunna ]', 'half a million dollars on me, i feel it in my chromosomes i don\'t talk to that bitch, when we meet up, she know i\'m only bone lifetime, send it, i made millions without a mobile phone two hundred thousand stacked up i could bought myself, you need a drone tryna put my people on, put my heart in every song thugger told me, ""that bitch heart ain\'t right, you need to leave her \'lone"" she a dime, but she ain\'t got a diamond, that don\'t make no  sense i don\'t care, don\'t waste no time, my next one gon\' be heaven-sent ran me up some mils, now i\'m not comin\' off the bench i been patiently waitin\' on my turn, just tell me when is it? i can spin \'em like big worm or vick, i feed \'em to the pits yeah, my whole life has turned, i think i\'m gettin\' followed by a journalist i think my life done finally shifted, we on a yacht, look like a ship i prayed to god to get you hips, and then i got your titties lifted never like to fuss and fight, but you throw fists in like they trip and then seduce me with your lips and i enjoy it'), ('[Chorus: YTB Trench]', ""i know it hurt, but you still told me that you lied we made it work, but you still found the ways around it extended verse, somehow, we still ain't see the high i paid the fine, and pay that iron between that line, i smoke that fire i know it hurt, but you still told me that you lied we made it work, but you still found the ways around it extended verse, somehow, we still ain't see the high i paid the fine, and i'd do it again""), ('[Verse 3: YTB Trench]', ""you say that you need a friend hold up, lil' bitch, come again know you may not know my name but my net worth a fuckin' m and that's just what the people know we move like a pick and roll six shots behind screen, wait 'til that three, they comin' at your soul that lil' bitch a freak (yeah) she gon' eat with my pateky on i came from the streets, she know i'm g what she wan' sex me for iced out all my p's, down to my c's put all my brothers on i took out my piece, that bitch a freak she say she love it on i know she just wanna fuck 'cause i'm rich now i ran to the top, ain't stunt on shit ain't make no pitstops i ran up the mon' and make it flip somethin' like tiktok thuggin' in a brick house pookie servin' chris rock""), ('[Outro: YTB Trench]', ""if i knew how to spin a bend then i'd spin again we hit a slide every time (slide out) and slide ou"")]"
2784,Momma's House,"[('[Verse 1]', ""i see your face on every street every corner, couple trees even got our name on 'em i\u2005feel\u2005your love, i\u2005hear your laugh got them take-me-way-on-back hurt-me memories,\u2005i don't want 'em up and down the boulevard in and out of every bar""), ('[Chorus]', ""i'd burn this whole town down pick a spot, dig a hole, put them ashes in the ground baby, i'd burn this whole town down if it wasn't for my momma's house, my momma's house damn girl, why'd you have to break it like that? leaving pieces of my shattered heart scattered like glass i'd burn this whole town down if it wasn't for my momma's house, my momma's house""), ('[Verse 2]', ""i would start it when where we started at the downtown party where you kissed my lips and stole my beer the city park in the dark where we looked up at the stars watched them fireworks pop last year i'd start it under that texaco sign where you said goodbye i'd get some gas and drop a match right there""), ('[Chorus]', ""i'd burn this whole town down pick a spot, dig a hole, put them ashes in the ground baby, i'd burn this whole town down if it wasn't for my momma's house, my momma's house damn girl, why'd you have to break it like that? leaving pieces of my shattered heart scattered like glass i'd burn this whole town down if it wasn't for my momma's house, my momma's house""), ('[Bridge]', ""fire-red flames, sunsets in the sky going out, staying in, staying up, long nights now i'm waking up alone, wishing i could move on blocked your number in my phone, thought it'd help, but it don't""), ('[Chorus]', ""i'd burn this whole town down pick a spot, dig a hole, put them ashes in the ground baby, i'd burn this whole town down if it wasn't for my momma's house, my momma's house damn girl, why'd you have to break it like that? leaving pieces of my shattered heart scattered like glass i'd burn this whole town down if it wasn't for my momma's house, my momma's house""), ('[Outro]', ""(baby, i'd burn this whole town down) (if it wasn't for my momma's house, my momma's house"")]"
